Topic1,Topic2,Edge Weight,Positive Sentiment,Negative Sentiment
TV,The Bachelor,1,0.5253450276547204,0.47465499934527977
IBM,NYC,2,1.8172663333069319,0.18273370969306818
IBM,Japan,3,2.925573369572476,0.07442660092752357
Daimler,IBM,1,0.9876994827070031,0.012300455292996972
Bitcoin,Cryptocurrency,8,4.521333048633967,3.478666869366033
Bitcoin,IBM,2,1.1672713183664738,0.8327286266335263
Cryptocurrency,IBM,4,2.107900612355194,1.8920993156448065
IBM,North Carolina,1,0.9901877343725997,0.009812300627400352
IBM,Raleigh,1,0.9901877343725997,0.009812300627400352
North Carolina,Raleigh,2,1.6343246678425096,0.3656754011574905
AI,China,2,1.2022542371031002,0.7977458488968996
IBM,Startups,4,3.898328158090452,0.10167193490954829
5G,AI,4,2.426266849629423,1.5737332953705774
Entrepreneur,Startups,1,0.8657214993405563,0.13427847015944377
Academia,Entrepreneur,1,0.8657214993405563,0.13427847015944377
Entrepreneur,NYC,1,0.8657214993405563,0.13427847015944377
Academia,Startups,3,2.7191279431161894,0.28087205538381066
NYC,Startups,3,2.6109178784320153,0.3890822300679846
Academia,NYC,1,0.8657214993405563,0.13427847015944377
NASA,Startups,1,0.8265018183342641,0.17349815066573593
Space,Startups,2,1.8173584644932805,0.18264146550671942
Google,Startups,2,1.1350500493303546,0.8649499596696454
SpaceX,Startups,1,0.8265018183342641,0.17349815066573593
NASA,Space,17,13.214213161275007,3.78578690852499
Google,NASA,3,2.355314748047403,0.644685227952597
NASA,SpaceX,2,1.7043510541490514,0.2956488978509487
Google,Space,3,2.355314748047403,0.644685227952597
Space,SpaceX,4,2.1861175099468637,1.8138824420531363
Google,SpaceX,1,0.8265018183342641,0.17349815066573593
Israel,Startups,2,1.8567057773377682,0.14329412666223176
Microsoft,NYC,1,0.8894748522346831,0.11052513876531696
Meghan Markle,Prince Harry,-1,0.06556938985371463,0.9344306371462854
Meghan Markle,Royal Family,-3,0.5183374756538572,2.481662498346143
Meghan Markle,Oprah Winfrey,-2,0.11996053651389503,1.880039450486105
Prince Harry,Royal Family,-2,0.14848453784829402,1.8515154791517061
Oprah Winfrey,Prince Harry,-2,0.14848453784829402,1.8515154791517061
Oprah Winfrey,Royal Family,-3,0.20287568450847443,2.797124292491526
AI,Google,6,3.8462202229881886,2.1537797800118117
Drugs,Seoul,-1,0.07085379892739771,0.9291462370726022
Climate Change,Security,-2,0.34394957712568996,1.6560505178743101
Climate Change,Security Breach,-2,0.34394957712568996,1.6560505178743101
Security,Security Breach,-27,12.8494911673742,14.150508852125796
Google,IBM,8,5.945440097282429,2.054559746717571
IBM,India,2,1.1954113499576682,0.8045886380423318
Google,India,1,0.9838316687554635,0.016168361244536557
