Topic1,Topic2,Edge Weight
AI,China,1
Meghan Markle,Prince Harry,1
Meghan Markle,Royal Family,3
Meghan Markle,Oprah Winfrey,2
Prince Harry,Royal Family,2
Oprah Winfrey,Prince Harry,2
Oprah Winfrey,Royal Family,3
Drugs,Seoul,1
Climate Change,Security,2
Climate Change,Security Breach,2
Security,Security Breach,14
China,Google,1
Business Leaders,IBM,1
Business Leaders,India,1
IBM,India,1
Tweets,Twitter,7
AI,Academia,1
AI,Security,2
AI,Security Breach,2
AI,Utah,1
Security,Utah,1
Security Breach,Utah,1
Colombia,Wildlife,1
5G,AI,2
NASA,Space,3
Basketball,NBA,21
GOP,Joe Biden,5
Academia,UCLA,4
Academia,Documentaries,1
Documentaries,UCLA,1
Instagram,Lamborghini,1
Documentaries,Epstein Case,1
Documentaries,Jeffrey Epstein,1
Documentaries,Netflix,1
Epstein Case,Jeffrey Epstein,1
Epstein Case,Netflix,1
Jeffrey Epstein,Netflix,1
Space,SpaceX,2
David Beckham,Sports Figures,2
Black Lives Matter,George Floyd,1
Black Lives Matter,Social Issues,2
George Floyd,Social Issues,1
CDC,Coronavirus,6
Football,Kansas City Chiefs,2
Football,NFL,50
Football,Kansas,1
Football,Kansas City,1
Football,Missouri,2
Kansas City Chiefs,NFL,2
Kansas,Kansas City Chiefs,1
Kansas City,Kansas City Chiefs,1
Kansas City Chiefs,Missouri,1
Kansas,NFL,1
Kansas City,NFL,1
Missouri,NFL,1
Kansas,Kansas City,2
Kansas,Missouri,2
Kansas City,Missouri,2
Social Issues,Trump,1
Christianity,Racial Injustice,1
Christianity,Social Issues,1
Racial Injustice,Social Issues,8
Florida,Supreme Court,1
Astrology,Horoscopes,2
African American,Music,1
Black Lives Matter,Music,1
Music,Social Issues,1
Music,Racial Injustice,1
African American,Black Lives Matter,1
African American,Social Issues,1
African American,Racial Injustice,1
Black Lives Matter,Racial Injustice,1
Activism,Social Issues,2
Activism,Boris Johnson,1
Activism,United Kingdom,1
Activism,Protests,1
Boris Johnson,Social Issues,1
Social Issues,United Kingdom,3
Protests,Social Issues,4
Boris Johnson,United Kingdom,4
Boris Johnson,Protests,1
Protests,United Kingdom,1
Alabama,Football,3
Fashion,Meghan Markle,1
Fashion,Royal Family,1
Basketball,Football,1
Coronavirus,Food & Drink,1
Trump,Twitter,1
Lord of the Rings,Movies,2
Football,TV,3
Documentaries,Football,1
Documentaries,TV,1
Airlines,Aviation,7
Activism,Asian,1
Asian,Social Issues,1
Academia,Football,7
Football,UCLA,2
Anthony Davis,Sports Figures,1
Anthony Davis,Basketball,1
Anthony Davis,Los Angeles Lakers,1
Anthony Davis,NBA,1
Anthony Davis,Florida,1
Anthony Davis,Orlando,1
Basketball,Sports Figures,5
Los Angeles Lakers,Sports Figures,1
NBA,Sports Figures,5
Florida,Sports Figures,2
Orlando,Sports Figures,1
Basketball,Los Angeles Lakers,3
Basketball,Florida,1
Basketball,Orlando,1
Los Angeles Lakers,NBA,3
Florida,Los Angeles Lakers,1
Los Angeles Lakers,Orlando,1
Florida,NBA,1
NBA,Orlando,1
Florida,Orlando,1
California,Lawsuits,1
California,Trump,1
Lawsuits,Trump,1
Kanye West,Twitter,1
Kanye West,Yeezy,1
Twitter,Yeezy,1
Movies,Reviews,11
Academia,Security,1
Academia,Security Breach,1
Academia,Ransomware,1
Ransomware,Security,1
Ransomware,Security Breach,1
Basketball,Denver Nuggets,1
Basketball,Colorado,1
Basketball,Denver,1
Denver Nuggets,NBA,1
Colorado,Denver Nuggets,1
Denver,Denver Nuggets,1
Colorado,NBA,1
Denver,NBA,1
Colorado,Denver,1
Business Leaders,Elon Musk,4
Business Leaders,Tweets,1
Business Leaders,Twitter,2
Elon Musk,Tweets,1
Elon Musk,Twitter,2
Bella Hadid,New York,1
Bella Hadid,NYC,1
NYC,New York,1
Black Lives Matter,Breonna Taylor,2
Black Lives Matter,Oprah Winfrey,1
Breonna Taylor,Oprah Winfrey,1
Earthquakes,Movies,1
HBO,Movies,1
Movies,TV,1
Movies,Seth Rogen,1
HBO,Reviews,1
Reviews,TV,3
Reviews,Seth Rogen,1
HBO,TV,2
HBO,Seth Rogen,1
Seth Rogen,TV,1
Coronavirus,Unemployment,1
Academia,TV,1
TV,UCLA,1
Tweets,Viola Davis,1
Twitter,Viola Davis,1
Football,Ohio,7
Football,Oregon State University,2
Ohio,Oregon State University,1
Big Ten,Football,1
Big Ten,Ohio,1
Chrissy Teigen,Netflix,1
Chrissy Teigen,Selling Sunset,1
Chrissy Teigen,TV,1
Netflix,Selling Sunset,1
Netflix,TV,9
Selling Sunset,TV,1
Black Lives Matter,Lebron James,1
Black Lives Matter,Sports Figures,1
Breonna Taylor,Lebron James,1
Breonna Taylor,Sports Figures,1
